,Weight (%),Ann. Return (%),Ann. Vol (%),MVaR,CVaR,Risk Contribution (%),% Return Contrib,Return Contribution (%),Risk-Return Ratio,Efficient
AAPL,8.3333,26.1225,32.0984,0.03,0.0025,8.8378,18.228527008016435,18.228527008016435,0.485,Yes (return > risk)
CAT,8.3333,14.6493,31.6392,0.0346,0.0029,10.1975,10.222419779827167,10.222419779827167,0.998,Yes (return > risk)
CVX,8.3333,8.6951,28.316,0.032,0.0027,9.4221,6.067522832324766,6.067522832324766,1.553,No  (risk > return)
GS,8.3333,11.5743,34.6382,0.0397,0.0033,11.7014,8.076655762231203,8.076655762231203,1.449,No  (risk > return)
HON,8.3333,10.859,25.1785,0.0295,0.0025,8.7056,7.5775126722193695,7.5775126722193695,1.149,No  (risk > return)
JNJ,8.3333,8.387,17.1974,0.0157,0.0013,4.6344,5.8525277449032,5.8525277449032,0.792,Yes (return > risk)
JPM,8.3333,12.9395,35.7492,0.0405,0.0034,11.9427,9.029305205100151,9.029305205100151,1.323,No  (risk > return)
KO,8.3333,8.8631,18.1216,0.0169,0.0014,4.9808,6.1847548176763505,6.1847548176763505,0.805,Yes (return > risk)
MSFT,8.3333,15.713,27.0038,0.0274,0.0023,8.0748,10.964679677556214,10.964679677556214,0.736,Yes (return > risk)
PG,8.3333,7.5336,18.0896,0.016,0.0013,4.7074,5.257017171694616,5.257017171694616,0.895,Yes (return > risk)
UNH,8.3333,10.7144,31.7981,0.0282,0.0024,8.32,7.476609427684612,7.476609427684612,1.113,No  (risk > return)
XOM,8.3333,7.2548,26.4734,0.0287,0.0024,8.4756,5.062467900765916,5.062467900765916,1.674,No  (risk > return)
