Ticker,MVaR,CVaR,Risk Contribution (%),VaR change (+1% w),$ VaR impact (+1% w),VaR reduction (-10% pos)
AAPL,0.03,0.0025,8.84,0.0019,19.0,0.0013
CAT,0.0346,0.0029,10.2,0.0064,64.0,0.0052
CVX,0.032,0.0027,9.42,0.0038,38.0,0.003
GS,0.0397,0.0033,11.7,0.0115,115.0,0.0095
HON,0.0295,0.0025,8.71,0.0013,13.0,0.001
JNJ,0.0157,0.0013,4.63,-0.0124,-124.0,-0.0106
JPM,0.0405,0.0034,11.94,0.0123,123.0,0.0101
KO,0.0169,0.0014,4.98,-0.0112,-112.0,-0.0096
MSFT,0.0274,0.0023,8.07,-0.0007,-7.0,-0.0008
PG,0.016,0.0013,4.71,-0.0121,-121.0,-0.0104
UNH,0.0282,0.0024,8.32,0.0002,2.0,-0.0002
XOM,0.0287,0.0024,8.48,0.0006,6.0,0.0003
